Station,Date,Discharge,Longitude,Latitude
USGS-02097517,2021-04-10,38.6,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-11,182.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-12,102.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-13,73.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-14,54.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-15,59.1,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-16,59.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-17,57.1,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-18,56.5,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-19,55.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-20,52.3,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-21,53.5,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-22,55.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-23,46.3,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-24,66.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-25,96.1,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-26,70.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-27,55.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-28,42.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-29,41.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-04-30,45.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-01,36.5,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-02,29.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-03,40.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-04,60.3,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-05,64.1,-79.0197222222222,35.8933333333333
USGS-02097517,2021-05-06,37.8,-79.0197222222222,35.8933333333333
